player_id,player_name,points
1010634,Hyeon-gyu Oh,3
12994,Lionel Messi,3
843114,Julián Quiñones,3
940871,Nico Schlotterbeck,3
823941,Alexander Isak,3
996952,Bradley Barcola,3
1144687,Nestory Irankunda,3
971037,Amad Diallo,3
934237,Folarin Balogun,3
839956,Erling Haaland,3
888906,Yazan Al-Arab,3
991011,Jude Bellingham,3
250223,John McGinn,3
827668,Petar Musa,1
1136642,Livano Comenencia,1
786133,Ramin Rezaeian,1
805123,Yoane Wissa,1
798303,Miro Muheim,1
929193,Maximiliano Araújo,1
826545,Mohamed Hany,1
1090019,Martin Baturina,1
996805,Mohammad Mohebi,1
868812,Vinícius Júnior,1
889689,Hwang In-beom,1
812999,Aymen Hussein,1
905352,Keito Nakamura,1
790179,Cyle Larin,1
980728,Ali Olwan,1
794338,Daichi Kamada,1
